Bubble,Insertion,Merge,Quick,Radix,Selection,Shell,python
0.0013488300028257072,0.0004970689988113008,0.0009375759982503951,0.0005213350013946183,0.0005678140005329624,0.0008963910004240461,0.0005977199980407022,3.3388001611456275e-05
0.001382244001433719,0.00043857099808519706,0.0009419800044270232,0.0004959759971825406,0.0006135549992904998,0.0009521990068606101,0.0006830060010543093,3.3420001273043454e-05
0.0014819610005361028,0.0005604480029433034,0.0009672019950812683,0.0005330549975042231,0.000566774993785657,0.000986656996246893,0.0006119090030551888,3.414400271140039e-05
0.001530494999315124,0.0005836590062244795,0.0010080650026793592,0.0005715259976568632,0.0005796439945697784,0.0010645180009305477,0.000632688999758102,3.5577002563513815e-05
0.001613849999557715,0.000502425005834084,0.0009989659956772812,0.0005660489987349138,0.0006101039980421774,0.0010043450020020828,0.0006455809998442419,3.4636999771464616e-05
0.0017510100005893037,0.0007227890018839389,0.0010233260036329739,0.0005688359960913658,0.0005914330031373538,0.001059207999787759,0.000617126002907753,3.680200461531058e-05
0.001786000000720378,0.0007049619962344877,0.001047730002028402,0.000647185996058397,0.0006008729978930205,0.001145005997386761,0.0006699919977108948,3.8400998164433986e-05
0.001679961998888757,0.000560311003937386,0.0011086919985245913,0.0005767340044258162,0.0006367449968820438,0.0011473539998405613,0.0006961330000194721,3.797299723373726e-05
0.00173238600109471,0.0005622919998131692,0.0011149499987368472,0.0005723180001950823,0.0006379729966283776,0.0011170779980602674,0.000696328999765683,6.586599920410663e-05
0.001741151005262509,0.0005595969996647909,0.0010991380040650256,0.0006577009989996441,0.0006509800005005673,0.0011680489988066256,0.0006862060035928153,3.955799911636859e-05
0.0017864719993667677,0.0005344809978851117,0.001117735002480913,0.0006364389992086217,0.0006822620052844286,0.0012030249999952503,0.0007739529974060133,4.2583000322338194e-05
0.0018280080039403401,0.0006007549964124337,0.0011404840042814612,0.0006540180038427934,0.000652287999400869,0.0012384349975036457,0.0009502530010649934,4.217300011077896e-05
0.0019853389967465773,0.0006713030015816912,0.0011571979994187132,0.0006331119948299602,0.0006629209965467453,0.0013531020013033412,0.0007931920044939034,4.3259999074507505e-05
0.0021410870031104423,0.0007518229976994917,0.001193380005133804,0.0006942339969100431,0.0006688799985568039,0.0013085720056551509,0.0008513409993611276,4.413599526742473e-05
0.0021169370011193678,0.0007002149941399693,0.0012221899960422888,0.0006379140031640418,0.0006827699980931357,0.001329820996033959,0.0008545169985154644,4.519600042840466e-05
0.0021879549967707135,0.0007770649972371757,0.0012573970016092062,0.0006746100043528713,0.0006883390014991164,0.0014023959956830367,0.0008569300043745898,4.480899951886386e-05
0.002245199000753928,0.0007910440035630018,0.0012517870054580271,0.000737692003895063,0.0007032619978417642,0.001403408001351636,0.0008407900022575632,4.492200241656974e-05
0.002315955003723502,0.0007813119955244474,0.0012802759956684895,0.0006607449977309443,0.0007678220063098706,0.0014410860021598637,0.0008598529966548085,4.814000567421317e-05
0.0023904989939182997,0.0008224599951063283,0.0013428129968815483,0.0007025290033197962,0.0007133199978852645,0.0015155159999267198,0.0008950260016717948,4.899399937130511e-05
0.0022863609992782585,0.0007238830003188923,0.0013258859980851412,0.0007682120049139485,0.0007206499940366484,0.0015621330021531321,0.0008754340015002526,4.843200440518558e-05
0.0024028510015341453,0.0007849280009395443,0.0013364369951887056,0.0007425970034091733,0.0007324859980144538,0.0015499290020670742,0.0008892609985196032,5.7616998674348e-05
0.0025514439985272475,0.0008625490008853376,0.0013814409976475872,0.0007515339966630563,0.0007441300040227361,0.001618116999452468,0.0009273180039599538,5.084500298835337e-05
0.0025857229993562214,0.0008479140014969744,0.001394412000081502,0.0007870150002418086,0.0007493270022678189,0.0016619660018477589,0.0010752249945653602,5.13400009367615e-05
0.0025947489993995987,0.0008423370018135756,0.0014021490060258657,0.0008000820016604848,0.0008154379975167103,0.0017065400024875998,0.0009329070016974583,5.160300497664139e-05
0.002764576995105017,0.0009655860048951581,0.0014195469993865117,0.0007669999977224506,0.0007671959974686615,0.0017643379978835583,0.000966279003478121,5.255200085230172e-05
0.0027504059980856255,0.0008824319957057014,0.0014458220030064695,0.0008519490002072416,0.0007771910022711381,0.0017826389957917854,0.0009803069988265634,6.643000233452767e-05
0.0030017000026418827,0.00098639299540082,0.0015248230047291145,0.000930374997551553,0.0008173019959940575,0.0019140559961670078,0.001066636003088206,5.537799734156579e-05
0.003036406997125596,0.0009855669995886274,0.001533319998998195,0.0009280809972551651,0.0008217080030590296,0.001949047000380233,0.001096799001970794,5.6190998293459415e-05
0.0030358320000232197,0.0009630319982534274,0.0015650689965696074,0.0008960919949458912,0.0008279879984911531,0.001986876995943021,0.0010403639971627854,5.6359996960964054e-05
0.0031888040030025877,0.0011070489999838173,0.0015909860012470745,0.0008841770031722263,0.000838934000057634,0.0019922999999835156,0.0010800550007843412,5.825599509989843e-05
